,marca,preço,link
1308,Fonte Carregador Para Acer Aspire E5-574-50ld 19v 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/239006/fonte-carregador-para-acer-aspire-e5-574-50ld-19v-65w-479-voltagem-de-entrada
1309,Fonte Carregador Para Acer Travelmate 2470 19v 3.42a 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271509/fonte-carregador-para-acer-travelmate-2470-19v-3-42a-479-voltagem-de-entrada
1302,Fonte Carregador Acer Aspire Es1-531-c0rk 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271686/fonte-carregador-acer-aspire-es1-531-c0rk-19v-3-42a-65w-479-voltagem-de-entrada
1355,Fonte Carregador Para Acer Aspire E5-522 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271692/fonte-carregador-para-acer-aspire-e5-522-19v-3-42a-65w-479-voltagem-de-entrada
1360,Fonte Carregador REPLACEMENT Compativel Com Samsung All In One Dp500a2l-kw1br 500,78.99,https://www.kabum.com.br//produto/271708/fonte-carregador-replacement-compativel-com-samsung-all-in-one-dp500a2l-kw1br-500
1361,Fonte Carregador Compativel Com Samsung Np500r5h Np500r5k 19v 65w 500,78.99,https://www.kabum.com.br//produto/295906/fonte-carregador-compativel-com-samsung-np500r5h-np500r5k-19v-65w-500
1589,"Fonte Carregador Para Acer Aspire E5-553 19v 3.42a 65w 479, Voltagem De Entrada",78.99,https://www.kabum.com.br//produto/271685/fonte-carregador-para-acer-aspire-e5-553-19v-3-42a-65w-479-voltagem-de-entrada
1590,Fonte Carregador P/ Acer Travelmate 8000 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271510/fonte-carregador-p-acer-travelmate-8000-19v-3-42a-65w-479-voltagem-de-entrada
1591,Fonte Carregador Para Acer // Gateway 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271402/fonte-carregador-para-acer-gateway-19v-3-42a-65w-479-voltagem-de-entrada
1592,Fonte Carregador P/ Acer Aspire E5-551 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271695/fonte-carregador-p-acer-aspire-e5-551-19v-3-42a-65w-479-voltagem-de-entrada
1593,Fonte Carregador Para Acer Aspire Es15 Es1-332 19v 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271511/fonte-carregador-para-acer-aspire-es15-es1-332-19v-65w-479-voltagem-de-entrada
1594,Fonte Carregador P/ Acer Aspire Es15723562 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271396/fonte-carregador-p-acer-aspire-es15723562-19v-3-42a-65w-479-voltagem-de-entrada
1595,Fonte Carregador Acer Aspire E5-573-347g 19v 3.42a 65w By06 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271593/fonte-carregador-acer-aspire-e5-573-347g-19v-3-42a-65w-by06-479-voltagem-de-entrada
2460,"Fonte Carregador Para Acer Emachines E625 19v 3,42a 65w 479 - Voltagem De Entrada",78.99,https://www.kabum.com.br//produto/250418/fonte-carregador-para-acer-emachines-e625-19v-3-42a-65w-479-voltagem-de-entrada
1596,Fonte Carregador P/ Acer Aspire V3 V3-771 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271565/fonte-carregador-p-acer-aspire-v3-v3-771-19v-3-42a-65w-479-voltagem-de-entrada
1598,Fonte Carregador Para Acer Aspire R3-131t 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271592/fonte-carregador-para-acer-aspire-r3-131t-19v-3-42a-65w-479-voltagem-de-entrada
1599,"Fonte Carregador Para Acer Aspire 4349 19v 3,42a 65w 479 - Voltagem De Entrada",78.99,https://www.kabum.com.br//produto/250415/fonte-carregador-para-acer-aspire-4349-19v-3-42a-65w-479-voltagem-de-entrada
1600,Fonte Carregador Acer Aspire 3000 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271506/fonte-carregador-acer-aspire-3000-19v-3-42a-65w-479-voltagem-de-entrada
1039,"Fonte Carregador Para Acer Aspire 19v, 3.42a, 65w, Ac06",78.99,https://www.kabum.com.br//produto/465010/fonte-carregador-para-acer-aspire-19v-3-42a-65w-ac06
1617,Fonte Carregador Para Acer Aspire Q5wph 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271430/fonte-carregador-para-acer-aspire-q5wph-19v-3-42a-65w-479-voltagem-de-entrada
1618,"Fonte Carregador Acer Aspire Es1, 19V, 3.42A, 65W, Bivolt - Es1-572-3562",78.99,https://www.kabum.com.br//produto/271336/fonte-carregador-acer-aspire-es1-19v-3-42a-65w-bivolt-es1-572-3562
1619,Fonte Carregador Para Acer Aspire E14 Es1 411 Ea42b 19v 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271676/fonte-carregador-para-acer-aspire-e14-es1-411-ea42b-19v-479-voltagem-de-entrada
1597,Fonte Carregador Para Acer F5-573g-72yv 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/250414/fonte-carregador-para-acer-f5-573g-72yv-19v-3-42a-65w-479-voltagem-de-entrada
2461,Fonte Carregador Para Acer E14 E5-471-38fq 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271345/fonte-carregador-para-acer-e14-e5-471-38fq-19v-3-42a-65w-479-voltagem-de-entrada
2462,Fonte Carregador Para Notebook Acer Aspire E5-473g 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271694/fonte-carregador-para-notebook-acer-aspire-e5-473g-19v-3-42a-65w-479-voltagem-de-entrada
2463,Fonte Carregador Acer Aspire R3 N15w5 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/250410/fonte-carregador-acer-aspire-r3-n15w5-19v-3-42a-65w-479-voltagem-de-entrada
1362,Fonte Carregador Compativel Com Samsung Np300e5m-kfabr 19v 60w 555 - Fonte Carregador Compativel Com Samsung Np300e5m-kfabr 19v 60w 555,78.99,https://www.kabum.com.br//produto/295854/fonte-carregador-compativel-com-samsung-np300e5m-kfabr-19v-60w-555-fonte-carregador-compativel-com-samsung-np300e5m-kfabr-19v-60w-555
1363,Fonte Carregador Compativel Com Samsung  X460   19v 3.16a 65w 555,78.99,https://www.kabum.com.br//produto/295214/fonte-carregador-compativel-com-samsung-x460-19v-3-16a-65w-555
2778,"Fonte Carregador Para Acer Aspire E3-112 19v 3,42a 65w 479 - Voltagem De Entrada",78.99,https://www.kabum.com.br//produto/241110/fonte-carregador-para-acer-aspire-e3-112-19v-3-42a-65w-479-voltagem-de-entrada
2475,Fonte Carregador Para Acer Aspire Es1-431-p0v7 19v 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271431/fonte-carregador-para-acer-aspire-es1-431-p0v7-19v-65w-479-voltagem-de-entrada
2474,Fonte Carregador Para Acer Gateway Ne71b06u 19v 3.42a - 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271602/fonte-carregador-para-acer-gateway-ne71b06u-19v-3-42a-65w-479-voltagem-de-entrada
2473,Fonte Carregador Para Acer /  Gateway M-6728  19v 3.42a 65w Mm 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/250409/fonte-carregador-para-acer-gateway-m-6728-19v-3-42a-65w-mm-479-voltagem-de-entrada
2472,Fonte Carregador Para Acer /  Gateway M305crv 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271603/fonte-carregador-para-acer-gateway-m305crv-19v-3-42a-65w-479-voltagem-de-entrada
2471,Fonte Carregador Para Acer Aspire Ms2346 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271339/fonte-carregador-para-acer-aspire-ms2346-19v-3-42a-65w-479-voltagem-de-entrada
2470,Fonte Carregador Para Acer Es1-572-347r 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271605/fonte-carregador-para-acer-es1-572-347r-19v-3-42a-65w-479-voltagem-de-entrada
2469,Fonte Carregador P/ Acer Aspire E1-421 E1-431 E1-471 E1-531g  479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/288116/fonte-carregador-p-acer-aspire-e1-421-e1-431-e1-471-e1-531g-479-voltagem-de-entrada
2468,Fonte Carregador Para Acer Aspire V5-123 Séries19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/250407/fonte-carregador-para-acer-aspire-v5-123-series19v-3-42a-65w-479-voltagem-de-entrada
959,Fonte Carregador Para Acer Gateway Id49c07u  19v 3.42a 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271627/fonte-carregador-para-acer-gateway-id49c07u-19v-3-42a-479-voltagem-de-entrada
2466,"Fonte Carregador Acer Aspire Es15 Series ,19V, 3.42A, 65W, Bivolt",78.99,https://www.kabum.com.br//produto/240010/fonte-carregador-acer-aspire-es15-series-19v-3-42a-65w-bivolt
958,Fonte Carregador Para Acer Aspire As1430z  19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/250412/fonte-carregador-para-acer-aspire-as1430z-19v-3-42a-65w-479-voltagem-de-entrada
2465,Fonte Carregador Para Acer E1-571-6644 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271696/fonte-carregador-para-acer-e1-571-6644-19v-3-42a-65w-479-voltagem-de-entrada
